Season,Episode,Viewers_Million
1,1,2.22
1,2,2.2
1,3,2.44
1,4,2.45
1,5,2.58
1,6,2.44
1,7,2.4
1,8,2.72
1,9,2.66
1,10,3.04
2,1,3.86
2,2,3.76
2,3,3.77
2,4,3.65
2,5,3.88
2,6,3.39
2,7,3.86
2,8,3.86
2,9,3.69
2,10,4.2
3,1,4.37
3,2,4.27
3,3,4.72
3,4,4.87
3,5,5.35
3,6,4.84
3,7,5.3
3,8,5.13
3,9,5.22
3,10,5.39
4,1,6.64
4,2,6.31
4,3,6.95
4,4,6.64
4,5,7.16
4,6,7.2
4,7,7.17
4,8,6.95
4,9,7.09
4,10,7.09
5,1,7.99
5,2,6.81
5,3,6.71
5,4,6.82
5,5,6.56
5,6,6.2
5,7,5.4
5,8,7.01
5,9,8.11
5,10,8.11
6,1,7.94
6,2,7.29
6,3,6.71
6,4,7.82
6,5,7.89
6,6,7.66
6,7,7.6
6,8,8.09
6,9,7.6
6,10,8.89
7,1,10.11
7,2,9.27
7,3,9.25
7,4,10.17
7,5,10.72
7,6,10.24
7,7,12.07
8,1,11.76
8,2,10.29
8,3,11.8
8,4,11.8
8,5,12.48
8,6,13.61
